Id,Sales
1,4041.9058
857,4121.877
1713,4327.3965
2569,4971.864
3425,4052.2212
4281,3181.405
5137,3411.702
5993,3394.5286
6849,3388.5496
7705,3396.7246
8561,3732.4326
9417,4264.4873
10273,3239.042
11129,4336.6323
11985,4549.0547
12841,4767.257
13697,4921.7856
14553,5534.1216
15409,4392.9185
16265,3317.4182
17121,3674.6738
17977,3352.263
18833,3346.3584
19689,3340.394
20545,3595.682
21401,4165.256
22257,3165.5415
23113,3976.8281
23969,4128.023
24825,4128.023
25681,4366.7397
26537,5025.686
27393,4165.256
28249,3230.0566
29105,3432.965
29961,3384.6792
30817,3356.9863
31673,3364.315
32529,3702.312
33385,4218.799
34241,3206.2395
35097,4318.292
35953,4471.6226
36809,4520.3716
37665,4702.8325
38521,5333.8647
39377,4524.746
40233,3367.9692
2,4780.0933
858,4884.0957
1714,5233.8135
2570,5909.7354
3426,3499.3586
4282,3142.4248
5138,3834.9355
5994,3772.9736
6850,3772.9736
7706,3782.0723
8562,3966.523
9418,3516.787
10274,3182.0334
11130,5093.6143
11986,5081.7344
12842,5264.772
13698,5530.987
14554,6526.381
15410,3641.9084
16266,3271.6309
17122,4181.67
17978,3729.749
18834,3729.749
19690,3738.747
20546,3907.8667
21402,3499.3586
22258,3142.4248
23114,4937.849
23970,4878.2944
24826,4887.736
25682,5229.6616
26538,5940.457
27394,3499.3586
28250,3142.4248
29106,3824.4
29962,3746.7874
30818,3746.7874
31674,3769.2754
32530,3979.9666
33386,3533.952
34242,3173.4905
35098,5034.2603
35954,4976.7793
36810,5059.4565
37666,5372.6978
38522,6175.8535
39378,3609.2253
40234,3241.0852
3,5669.319
859,5748.5483
1715,5910.451
2571,6365.1973
3427,2778.0486
4283,3847.1772
5139,4634.524
5995,4621.6816
6851,4621.6816
7707,4635.806
8563,4737.099
9419,2824.193
10275,3801.612
11131,5768.399
11987,5994.239
12843,6167.9414
13699,6236.2915
14555,6692.5835
15411,2905.307
16267,3948.9414
17123,5032.594
17979,4704.21
18835,4704.21
19691,4698.8506
20547,4790.1074
21403,2915.846
22259,3827.9985
23115,5660.5273
23971,5926.235
24827,5892.4775
25683,5956.4688
26539,6520.19
27395,2915.846
28251,3906.007
29107,4742.05
29963,4749.2334
30819,4749.2334
31675,4762.6665
32531,4887.283
33387,2925.3638
34243,3840.493
35099,5708.0884
35955,5961.5728
36811,5900.374
37667,6034.2456
38523,6743.9497
39379,3046.6416
40235,4046.6472
4,4529.1245
860,4627.668
1716,4787.4214
2572,5504.062
3428,4929.538
4284,3241.6262
5140,3731.8557
5996,3676.7637
6852,3676.7637
7708,3687.0757
8564,4053.4004
9420,4971.8496
10276,3266.429
11132,4788.6045
11988,4995.5664
12844,5245.3135
13700,5336.221
14556,5939.3633
15412,4853.162
16268,3305.6191
17124,4052.6387
17980,3630.9814
18836,3630.9814
19692,3625.9314
20548,3906.6106
21404,4904.9604
22260,3225.4656
23116,4436.9263
23972,4580.3086
24828,4589.1733
25684,4783.6235
26540,5582.8994
27396,4904.9604
28252,3291.2017
29108,3755.6548
29964,3650.5103
30820,3650.5103
31676,3659.9143
32532,4022.4587
33388,4968.0146
34244,3266.937
35100,4769.9453
35956,4912.171
36812,4973.671
37668,5098.83
38524,5835.004
39380,5049.9824
40236,3369.319
5,4853.5044
861,4949.53
1717,5152.611
2573,5660.3706
3429,2481.6135
4285,3667.2498
5141,3951.7488
5997,3932.4578
6853,3932.4578
7709,3941.941
8565,4226.4
9421,2598.5046
10277,3732.4932
11133,5014.883
11989,5223.0166
12845,5487.853
13701,5618.0977
14557,6127.615
15413,2689.7517
16269,3814.828
17125,4233.606
17981,3940.8018
18837,3940.8018
19693,3933.782
20549,4142.2827
21405,2604.711
22261,3648.9678
23117,4762.5347
23973,4908.3535
24829,4908.3535
25685,5148.5283
26541,5724.1616
27397,2604.711
28253,3723.3325
29109,3976.9534
29965,3978.5205
30821,3978.5205
31677,3987.2095
32533,4182.404
33389,2635.7898
34245,3692.4998
35101,4959.8843
35957,5099.375
36813,5158.02
37669,5354.168
38525,6112.2163
39381,2862.3574
40237,3973.4192
6,4246.302
862,4338.693
1718,4612.6133
2574,5381.2476
3430,4058.217
4286,3160.9607
5142,3641.37
5998,3591.2668
6854,3591.2668
7710,3599.931
8566,4015.9219
9422,4093.0513
10278,3181.751
11134,4499.46
11990,4678.6396
12846,4912.546
13702,5135.913
14558,5777.402
15414,4193.7456
16270,3241.9077
17126,3945.3794
17982,3546.5454
18838,3546.5454
19694,3540.228
20550,3851.455
21406,4037.9827
22262,3145.199
23118,4173.4487
23974,4294.286
24830,4302.5977
25686,4608.9585
26542,5431.48
27398,4037.9827
28254,3209.2996
29110,3664.5955
29966,3565.6204
30822,3565.6204
31678,3573.4077
32534,3965.6643
33390,4089.8938
34246,3185.6326
35102,4486.6963
35958,4605.434
36814,4658.1333
37670,4907.431
38526,5670.719
39382,4336.7812
40238,3308.3987
7,4550.8687
863,4640.907
1719,4896.261
2575,5380.2056
3431,2315.1091
4287,3273.7664
5143,3688.782
5999,3575.6448
6855,3575.6448
7711,3621.8796
8567,3607.4697
9423,2542.6719
10279,3321.4146
11135,4799.996
11991,4739.9604
12847,4939.1587
13703,5129.015
14559,5858.544
15415,2613.4893
16271,3412.8152
17127,3924.498
17983,3496.4456
18839,3496.4456
19695,3507.4766
20551,3498.851
21407,2569.6902
22263,3273.7664
23119,4679.943
23975,4621.408
24831,4621.408
25687,4925.3643
26543,5527.0264
27399,2569.6902
28255,3273.7664
29111,3678.6475
29967,3527.0679
30823,3527.0679
31679,3550.8684
32535,3562.3564
33391,2619.82
34247,3337.626
35103,4780.0522
35959,4720.2656
36815,4753.358
37671,5014.9067
38527,5647.2285
39383,2679.9465
40239,3454.305
8,4940.313
864,5038.055
1720,5455.9106
2576,5862.194
3432,3127.6145
4288,3825.25
5144,4096.231
6000,3961.0405
6856,3961.0405
7712,4025.445
8568,4044.7407
9424,3338.5208
10280,3826.1
11136,5193.5415
11992,5201.8657
12848,5376.343
13704,5725.5156
14560,6452.1743
15416,3537.716
16272,3990.2534
17128,4408.8115
17984,3964.571
18840,3964.571
19696,3944.5327
20552,3971.7366
21408,3419.3784
22264,3821.9417
23120,5001.7695
23976,4976.205
24832,4976.205
25688,5443.0303
26544,6026.8657
27400,3419.3784
28256,3918.128
29112,4155.16
29968,4020.1458
30824,3963.21
31680,3985.7227
32536,3990.1543
33392,3439.8066
34248,3844.7778
35104,5140.309
35960,5101.6616
36816,5137.427
37672,5538.457
38528,6278.7217
39384,3608.764
40240,4080.9734
9,4313.6313
865,4359.2485
1721,4704.901
2577,5253.861
3433,3354.55
4289,2984.9202
5145,3200.5342
6001,3121.4
6857,3097.0657
7713,3142.5085
8569,3350.4084
9425,3410.0264
10281,3000.9036
11137,4579.5264
11993,4578.4
12849,4703.4604
13705,4949.3594
14561,5885.3496
15417,3575.1057
16273,3065.0366
17129,3352.9824
17985,3073.698
18841,3049.7327
19697,3094.8564
20553,3277.76
21409,3413.3687
22265,2982.3384
23121,4388.081
23977,4327.1157
24833,4327.1157
25689,4671.081
26545,5448.8794
27401,3413.3687
28257,3057.4
29113,3246.1165
29969,3179.2812
30825,3089.8118
31681,3107.3674
32537,3276.744
33393,3426.6733
34249,2993.9607
35105,4538.8687
35961,4496.4263
36817,4549.5273
37673,4858.2197
38529,5652.3804
39385,3578.4631
40241,3126.5884
10,4257.671
866,4350.309
1722,4573.3276
2578,5217.0215
3434,4110.4194
4290,3183.8765
5146,3534.6936
6002,3486.4036
6858,3486.4036
7714,3541.5283
8570,3668.9539
9426,4136.293
10282,3254.9915
11138,4606.954
11994,4609.693
12850,4709.171
13706,4921.992
14562,5715.9336
15418,4325.754
16274,3306.1775
17130,3792.2673
17986,3441.96
18842,3441.96
19698,3461.6248
20554,3621.997
21410,4110.4194
22266,3183.8765
23122,4267.9297
23978,4288.6045
24834,4296.905
25690,4569.6997
26546,5290.6426
27402,4110.4194
28258,3183.8765
29114,3551.8306
29970,3457.684
30826,3457.684
31682,3479.921
32538,3635.5945
33394,4156.4844
34250,3219.56
35106,4515.8335
35962,4477.372
36818,4589.4927
37674,4781.1284
38530,5541.744
39386,4295.29
40242,3327.0847
11,4972.3525
867,5070.728
1723,5331.0674
2579,5669.8433
3435,3132.0725
4291,3957.9207
5147,4140.5723
6003,3881.9998
6859,3875.1626
7715,3946.1433
8571,3946.58
9427,3269.0103
10283,3998.8154
11139,5234.3877
11995,5223.081
12851,5414.8857
13707,5581.132
14563,6315.354
15419,3465.1235
16275,4128.4956
17131,4388.805
17987,3801.34
18843,3794.6448
19699,3826.8594
20555,3876.93
21411,3235.574
22267,3957.9207
23123,5068.7407
23979,5008.477
24835,5008.477
25691,5326.8384
26547,5845.4487
27403,3235.574
28259,3957.9207
29115,4128.602
29971,3850.9995
30827,3819.4924
31683,3865.7144
32539,3919.6157
33395,3284.969
34251,4018.336
35107,5193.1553
35963,5134.752
36819,5170.7495
37675,5407.2676
38531,6035.6445
39387,3361.1135
40243,4159.7407
12,4986.511
868,5085.167
1724,5298.688
2580,5812.994
3436,3086.5505
4292,3924.0676
5148,4192.586
6004,4101.9043
6860,4101.9043
7716,4121.8926
8572,4325.5767
9428,3194.0586
10284,3947.0847
11140,5099.326
11996,5290.3
12852,5558.542
13708,5686.7637
14564,6127.5273
15420,3252.3997
16276,4025.0151
17132,4491.6123
17988,4072.4219
18844,4072.4219
19700,4075.15
20556,4235.626
21412,3228.1313
22268,3904.502
23124,4912.171
23980,5042.8633
24836,5042.8633
25692,5286.178
26548,5899.7437
27404,3239.6448
28260,3984.0728
29116,4219.326
29972,4111.4
30828,4111.4
31684,4130.4966
32540,4357.7183
33396,3278.2947
34252,3951.0852
35108,5055.785
35964,5177.7427
36820,5237.2896
37676,5419.614
38532,6142.233
39388,3436.1072
40244,4189.891
13,4749.9585
869,4843.935
1725,5140.167
2581,5460.539
3437,2846.3472
4293,3479.7483
5149,3889.3425
6005,3797.6975
6861,3797.6975
7717,3859.447
8573,3877.947
9429,3067.9563
10285,3514.5066
11141,4981.4907
11997,4923.124
12853,4912.377
13709,5144.92
14565,6013.429
15421,3194.1624
16277,3629.6272
17133,4185.888
17989,3764.331
18845,3764.331
19701,3751.1934
20557,3794.08
21413,3111.8796
22269,3476.7422
23125,4823.85
23981,4784.468
24837,4784.468
25693,5136.094
26549,5589.832
27405,3111.8796
28261,3564.243
29117,3945.3003
29973,3817.103
30829,3763.0386
31685,3784.4182
32541,3825.611
33397,3161.036
34253,3531.6602
35109,4942.25
35965,4905.0913
36821,4939.479
37677,5205.4595
38533,5834.5474
39389,3276.1812
40245,3703.2764
14,4740.8193
870,4834.615
1726,4995.914
2582,5634.3315
3438,3651.2869
4294,4102.722
5150,4068.2285
6006,3958.555
6862,3951.5828
7718,4002.9104
8574,4217.3945
9430,3788.1204
10286,4159.0186
11142,5105.283
11998,5086.3945
12854,5261.253
13710,5376.8247
14566,6179.1826
15422,4220.655
16278,4270.1694
17134,4361.4736
17990,3915.8972
18846,3909.0002
19702,3920.416
20558,4134.119
21414,3771.9443
22270,4102.722
23126,4787.632
23982,4769.918
24838,4769.918
25694,5014.017
26550,5856.633
27406,3771.9443
28262,4102.722
29118,4068.0889
29974,3950.5764
30830,3918.255
31686,3932.5027
32542,4154.6294
33398,3806.6125
34254,4140.426
35110,5001.1304
35966,4982.6265
36822,5064.686
37678,5270.9478
38534,6090.6772
39390,3880.097
40246,4267.0547
15,4491.081
871,4579.9326
1727,4714.605
2583,5085.6426
3439,2890.8445
4295,3412.0242
5151,3414.9744
6007,3325.2063
6863,3299.2837
7719,3339.47
8575,3402.8188
9431,3021.1863
10287,3451.795
11143,4690.785
11999,4716.6606
12855,4954.2954
13711,4980.156
14567,5651.7227
15423,3171.4084
16279,3575.614
17135,3614.6038
17991,3251.8599
18847,3226.5088
19703,3234.29
20559,3293.014
21415,2986.3784
22271,3412.0242
23127,4549.046
23983,4523.706
24839,4523.706
25695,4710.8647
26551,5341.0537
27407,2986.3784
28263,3412.0242
29119,3414.8572
29975,3294.3428
30831,3247.6375
31687,3257.7964
32543,3333.6294
33399,3035.9355
34255,3468.6426
35111,4642.3506
35967,4637.7607
36823,4691.0986
37679,4781.101
38535,5519.303
39391,3102.8413
40247,3586.6997
16,3879.7417
872,3964.1626
1728,4104.9927
2584,4699.3706
3440,3437.0613
4296,2869.8604
5152,3177.8682
6008,3119.2417
6864,3119.2417
7720,3165.9128
8576,3308.263
9432,3371.1772
10288,2845.101
11144,4131.4585
12000,4100.394
12856,4270.6055
13712,4345.1787
14568,5391.045
15424,3528.505
16280,2985.8828
17136,3427.4187
17992,3143.0334
18848,3143.0334
19704,3127.1492
20560,3256.827
21416,3385.451
22272,2867.3796
23128,3969.733
23984,3939.8845
24840,3947.5063
25696,4125.5195
26552,4870.4644
27408,3385.451
28264,2939.5488
29120,3223.5923
29976,3173.857
30832,3128.9038
31688,3146.6785
32544,3254.594
33400,3387.6348
34256,2869.228
35112,4129.0234
35968,4097.9775
36824,4119.943
37680,4259.6123
38536,4991.1035
39392,3499.8325
40248,2997.067
17,4371.8955
873,4458.3896
1729,4640.1104
2585,5470.6167
3441,4089.613
4297,3485.9414
5153,3615.2417
6009,3486.9492
6865,3480.8074
7721,3489.205
8577,3873.891
9433,4253.4165
10289,3518.3174
11145,4646.076
12001,4829.9785
12857,5061.653
13713,5180.43
14569,5974.21
15425,4358.9946
16281,3612.725
17137,3873.8838
17993,3485.0537
18849,3478.9153
19705,3472.718
20561,3834.9685
21417,4203.6865
22273,3468.5598
23129,4297.8804
23985,4421.299
24841,4421.299
25697,4636.4297
26553,5595.572
27409,4203.6865
28265,3539.2488
29121,3637.7732
29977,3518.7537
30833,3489.964
31689,3497.5864
32545,3912.436
33401,4257.7275
34257,3513.1523
35113,4612.2305
35969,4733.192
36825,4799.5244
37681,4949.9688
38537,5887.1855
39393,4526.8916
40249,3698.835
18,5392.192
874,5498.8726
1730,5645.7256
2586,6160.909
3442,3395.6912
4298,4273.0425
5154,4623.666
6010,4484.681
6866,4484.681
7722,4504.742
8578,4494.4795
9434,3703.301
10290,4304.8594
11146,5562.3237
12002,5664.092
12858,5790.245
13714,5910.547
14570,6893.6562
15426,3992.3398
16282,4456.0894
17138,4905.316
17994,4416.287
18850,4416.287
19706,4393.2324
20562,4444.1655
21418,3769.0488
22274,4273.0425
23130,5311.232
23986,5431.3716
24842,5431.3716
25698,5641.2524
26554,6247.8477
27410,3769.0488
28266,4273.0425
29122,4646.076
29978,4454.9634
30834,4454.9634
31690,4434.87
32546,4465.962
33402,3815.6504
34258,4325.8735
35114,5518.5083
35970,5568.301
36826,5607.337
37682,5726.4277
38538,6465.8696
39394,3904.096
40250,4478.098
19,5670.4976
875,5730.4604
1731,6121.2827
2587,6783.257
3443,4415.7266
4299,4373.4385
5155,5004.404
6011,5076.492
6867,5067.5513
7723,5098.8447
8579,5447.3047
9435,4745.932
10291,4567.699
11147,5900.3516
12003,6141.5063
12859,6322.671
13715,6641.659
14571,7390.7524
15427,4926.022
16283,4570.358
17139,5359.952
17995,4959.402
18851,4950.6675
19707,4960.4004
20563,5108.445
21419,4538.899
22275,4351.637
23131,5487.1465
23987,5688.228
24843,5688.228
25699,6086.8384
26555,6820.633
27411,4538.899
28267,4440.3135
29123,5035.595
29979,5007.3545
30835,4966.389
31691,4995.919
32547,5248.877
33403,4658.3022
34259,4466.115
35115,5825.9277
35971,6024.814
36827,6102.779
